temp (°C),hum (%),vib (g)
48,35.85,0.1179
24.31,45.79,0.128
28.24,46.57,0.1542
32.62,41.98,0.1527
23.83,48.39,0.0311
23.83,54.04,0.0531
32.9,68.86,0.1258
28.84,51.75,0.1257
22.65,52.58,0.1258
27.71,49.26,0.2926
22.68,30.81,0.1285
22.67,49.73,0.1568
26.21,50.6,0.1477
15.43,74.63,0.1326
16.38,48.08,0.0842
22.19,53.02,0.1379
19.94,49.65,0.0614
26.57,38.31,0.0882
20.46,61.43,0.0757
17.94,57.52,0.1041
32.33,57.91,0.2157
23.87,40.91,0.0066
25.34,64.03,0.1343
17.88,35.98,0.0194
22.28,55.87,0.0764
25.55,71.9,0.1544
19.25,40.09,0.1032
26.88,44.34,0.0461
22.0,51.0,0.0642
23.54,44.97,0.134
21.99,34.49,0.0635
34.26,50.69,0.1108
24.93,39.38,0.1023
19.71,54.74,0.0674
29.11,40.81,0.2072
18.9,65.5,0.1317
26.04,42.17,-0.0013
15.2,46.78,0.1093
18.36,58.14,0.0669
25.98,37.69,0.1426
28.69,52.27,0.0604
25.86,63.07,0.0943
24.42,33.93,0.1252
23.49,51.85,0.1433
17.61,52.6,0.04
21.4,57.82,0.0833
22.7,37.63,0.0763
30.29,36.8,0.0673
26.72,55.22,0.1883
16.18,52.97,0.1202
26.62,52.5,0.037
23.07,53.46,0.1459
21.62,43.2,0.2061
28.06,52.32,0.1516
30.15,52.93,0.024
29.66,42.86,0.0758
20.8,68.66,0.1633
23.45,54.74,0.0646
26.66,38.09,0.1222
29.88,56.57,0.1387
22.6,40.25,0.0537
24.07,57.87,0.097
19.47,61.59,-0.0621
19.02,41.79,0.0488
29.06,59.63,0.0874
31.78,54.13,0.0376
24.64,58.22,0.1816
30.02,68.97,0.0285
26.81,47.55,0.078
21.77,42.46,0.1065
26.81,41.1,0.1721
32.69,41.84,0.0282
24.82,49.23,0.1582
32.82,53.41,0.1005
11.9,52.77,0.0509
29.11,58.27,0.1231
25.44,50.13,0.11
23.5,64.54,0.07
25.46,47.35,0.1035
15.06,77.2,0.0807
23.9,56.26,0.1057
26.79,41.43,0.1331
32.39,39.29,0.1793
22.41,54.82,0.0381
20.96,47.77,0.2067
22.49,57.14,0.0024
29.58,54.73,0.0924
26.64,49.27,0.1294
22.35,41.53,0.114
27.57,34.85,0.0689
25.49,45.53,0.0896
29.84,58.56,0.0753
21.49,52.14,0.0705
23.36,37.54,0.1425
23.04,51.73,0.1179
17.68,53.85,0.0654
26.48,41.16,0.145
26.31,51.54,0.1154
25.03,50.58,0.1406
23.83,38.57,0.1315
