temp (°C),hum (%),vib (g)
48.0,35.85,0.1179
24.31,45.79,0.128
28.24,46.57,0.1542
32.62,41.98,0.1527
23.83,48.39,0.0311
23.83,54.04,0.0531
32.9,68.86,0.1258
28.84,51.75,0.1257
22.65,52.58,0.1258
27.71,49.26,0.2926
22.68,30.81,0.1285
22.67,49.73,0.1568
26.21,50.6,0.1477
15.43,74.63,0.1326
16.38,48.08,0.0842
22.19,53.02,0.1379
19.94,49.65,0.0614
26.57,38.31,0.0882
20.46,61.43,0.0757
17.94,57.52,0.1041
32.33,57.91,0.2157
23.87,40.91,0.0066
25.34,64.03,0.1343
17.88,35.98,0.0194
22.28,55.87,0.0764
25.55,71.9,0.1544
19.25,40.09,0.1032
26.88,44.34,0.0461
22.0,51.0,0.0642
23.54,44.97,0.134
21.99,34.49,0.0635
34.26,50.69,0.1108
24.93,39.38,0.1023
19.71,54.74,0.0674
29.11,40.81,0.2072
18.9,65.5,0.1317
26.04,42.17,-0.0013
15.2,46.78,0.1093
18.36,58.14,0.0669
25.98,37.69,0.1426
28.69,52.27,0.0604
25.86,63.07,0.0943
24.42,33.93,0.1252
23.49,51.85,0.1433
17.61,52.6,0.04
21.4,57.82,0.0833
22.7,37.63,0.0763
30.29,36.8,0.0673
26.72,55.22,0.1883
16.18,52.97,0.1202
26.62,52.5,0.037
23.07,53.46,0.1459
21.62,43.2,0.2061
28.06,52.32,0.1516
30.15,52.93,0.024
29.66,42.86,0.0758
20.8,68.66,0.1633
23.45,54.74,0.0646
26.66,38.09,0.1222
29.88,56.57,0.1387
22.6,40.25,0.0537
24.07,57.87,0.097
19.47,61.59,-0.0621
19.02,41.79,0.0488
29.06,59.63,0.0874
31.78,54.13,0.0376
24.64,58.22,0.1816
30.02,68.97,0.0285
26.81,47.55,0.078
21.77,42.46,0.1065
26.81,41.1,0.1721
32.69,41.84,0.0282
24.82,49.23,0.1582
32.82,53.41,0.1005
11.9,52.77,0.0509
29.11,58.27,0.1231
25.44,50.13,0.11
23.5,64.54,0.07
25.46,47.35,0.1035
15.06,77.2,0.0807
23.9,56.26,0.1057
26.79,41.43,0.1331
32.39,39.29,0.1793
22.41,54.82,0.0381
20.96,47.77,0.2067
22.49,57.14,0.0024
29.58,54.73,0.0924
26.64,49.27,0.1294
22.35,41.53,0.114
27.57,34.85,0.0689
25.49,45.53,0.0896
29.84,58.56,0.0753
21.49,52.14,0.0705
23.36,37.54,0.1425
23.04,51.73,0.1179
17.68,53.85,0.0654
26.48,41.16,0.145
26.31,51.54,0.1154
25.03,50.58,0.1406
23.83,38.57,0.1315
19.294192378243693,53.20561043910617,0.04070859257945004
22.519562133244705,53.13455189234143,0.05779924447869895
26.72744731541057,40.88537909550644,0.18575467179512423
22.55345641742086,39.15207545029399,0.07751675016492829
25.330912145569208,61.86100890057062,0.0742837336964864
14.874805276328456,76.83683485453761,0.09480204631131214
19.69240970614201,59.41437189280375,0.11495487034755981
28.5033366718701,34.27402036833185,0.10883618595440361
19.786864209426387,63.934448991466375,0.12725767173047128
25.52222076249645,45.09548089489681,0.01405029129119183
26.802421138545373,39.06632503920435,0.07932214252369887
28.80880529766411,52.077642444295314,0.04237525469225097
31.811204995335363,37.738475293251845,0.18925711348647056
18.060192830889328,48.58079556803616,0.20788606585233613
29.525521727372517,35.92385139677762,0.054772046399500736
23.356235533747867,57.619543047218684,0.13318864739158695
15.527045254915187,75.64795906615292,0.07762635189617992
28.51021408857034,62.64889016453085,0.09807775129464422
26.677726657492016,56.076663741060834,0.18896517222383166
33.273707846609675,53.32177518416715,0.09686732980481651
22.94349853209853,50.49244522109044,0.1397637214351912
17.78887879400753,67.65224207503755,0.13362140834385533
25.259052453425138,52.60389079159228,0.044290905621775366
23.683474366136114,53.84965938650038,0.14761034149203406
18.872381093916204,55.63822756788538,0.07615250751750331
14.072820762747046,77.71743286094379,0.12857885110799913
19.9123782906934,57.641778352061166,0.07718779571159651
25.252333508777923,45.68724953733143,0.009797491410680056
19.19521705736265,67.14302589146747,0.14335739546666681
25.860924158652146,75.41221406031538,0.16412979913805315
28.70058222762577,63.45286889142025,0.11690925826520676
15.767240202293861,71.26105000736602,0.13112719508044615
33.94657964771739,38.859777175269954,0.017497849968359635
22.35630707395306,49.2184186188346,0.14965614390167567
28.662262599292,77.22430337686615,0.1555175422875061
35.48509742964855,40.05187328231683,0.13279221179999756
24.054638296733444,49.65119841883161,0.14628238174206057
20.889578845030545,63.157202963913335,0.113129125619221
20.901057778757732,62.42448593827315,0.12587484458241552
19.168926670278857,47.94672646207684,0.15642047685114066
26.122269913071726,59.57855328135915,0.1057013961196214
32.09875754417797,55.57748481458879,0.07969391701264537
26.88463146480753,69.58743706348783,0.1583721739663551
20.575271550941597,52.98527335641613,0.05118912503528793
28.13763759201305,49.99668544329873,0.1467524517795156
19.22034219201148,61.56128256200361,0.07835785722274428
25.112951323961543,66.92906410763398,0.1037942080692576
15.006132138406242,71.92347680886506,0.07776555920594863
18.773980016356823,51.881876908246156,0.07479453016547925
21.03232388905239,52.44827987125758,0.12992686248416796
25.108635737323304,39.45318903656326,0.11416590335826159
25.775675333374696,51.20786187746497,0.07555820522181535
32.6342210377836,37.77671488825456,0.11517182294960829
18.735991841523635,45.737959783219935,0.1569421276437504
24.905141870191468,53.19513927518497,0.14085103791700876
25.992863296082117,39.13655332106351,0.12048453668777752
19.896258457527313,61.88570153258357,0.08273788681874697
28.68330017229361,57.5555187828316,0.13960112790983806
28.133632344500263,35.72809824246729,0.12309943797417149
22.995270902049516,47.867408794526085,0.1519831898159169
24.724413501690982,53.35382567668464,0.11247546820514692
28.893363818627197,51.81704325948392,0.14992463393142863
18.165531117887433,46.595355657158656,0.1605610865010324
30.28135140828787,53.882207532798496,0.05725231880898064
19.978444716622374,60.02846245554879,0.0957917059317829
31.6966535858757,44.84368045476718,0.13327809876752392
20.276589556960207,65.13834179357315,0.11389825020589237
25.194431521555796,49.9025618095868,0.2913606955663347
12.295940463433688,51.51071618182198,0.04617741595825281
26.39222104341686,76.40486954217522,0.16668128768320284
29.747610103379067,48.79582897329477,0.134274090946123
24.31651218931114,54.12170638905016,0.16072081985179684
19.221190512840742,46.89692581471451,0.21679244530914557
23.42639142973237,47.29998823533628,0.15506487437163743
29.359721200948645,50.84025130121012,0.1276809488320622
24.270586473561536,49.977099774807364,0.14949812745997235
25.10378354683961,40.11130289141873,0.10156076534352547
33.206303290841554,42.771601791771346,0.0213987831952389
27.312328556274302,54.772975020839354,0.05529898569049559
23.52592527022527,46.69820224054376,0.032737327392598554
25.35640977664774,47.13582631832841,0.007129792813347919
27.644565581368695,62.17051197565548,0.1087143424808857
24.79699475191195,51.91508458594969,0.1329636572090596
20.210757274657425,67.18365317976394,0.12752489408301743
27.92970779348278,38.00188096767268,0.12407668765132004
32.65443051962994,55.104148292099204,0.03904841564104438
31.908868221245584,50.05475800395142,0.1190559968979445
15.69650468364081,76.94537531888614,0.11627291994119392
22.149447660497344,43.685487611952524,0.10273174191243256
20.90398337070276,51.16316614985028,0.07658169547070919
27.650149147891316,45.0192661039862,0.1865301040830554
20.353845269353197,52.99731258670546,0.12101771165421268
25.522168632285737,72.10007456962131,0.1586808095105698
30.136971805544817,42.16311765324214,0.14750669533218963
25.065219499287377,61.46507473129814,0.11317327946166772
19.616582567194396,59.092490000683064,0.08529618354361433
21.886796703407654,54.890840534610845,0.09535691276143062
30.83432769571287,40.246430145468025,0.17876094160314127
29.802571279169847,37.818275339279786,0.17435171528021534
26.369466757223236,40.84718933752595,0.14114071924252947
26.75943743196266,55.868106476614194,0.18544907538807592
29.388035380045526,31.294517142739608,0.09816707847282351
24.461559600097473,49.08762137539778,0.09156930449843351
14.48303899393927,49.361778977290044,0.10127875477219844
23.867255325510133,43.898453049685244,0.011124197534306338
21.381125350491864,47.738635776794894,0.2083092816829822
27.27994048954639,55.25346115991294,0.15919474586938195
19.05035301031175,60.71396207143498,0.14156369071019342
18.055896410684603,51.80512676409935,0.0444405056075603
22.444027871053112,37.01887154119562,0.10377493156364397
25.325342758271017,50.483351028155795,0.16366988503915458
24.651189193942198,65.35144509136524,0.11566691681965258
29.71701054238305,54.292918615820625,0.02431968598767114
28.226433610725834,42.60122694409111,0.19716569046169996
24.137208218126236,46.413036007843026,0.026910016902207942
24.389669367300996,58.164257230031026,0.10113124106196605
34.1217797337318,68.97785117836325,0.12394946328990658
25.547964700538127,57.588876500184554,0.18387111980767132
28.796464087001695,40.80263039833093,0.14944876177306385
19.008753902641704,64.92654703298196,0.07874759771259883
14.498156573173402,73.80055677835745,0.09729972965337377
30.80896854629603,56.65530695373159,0.15234251737229956
18.411469382014232,51.84611035835438,0.05656639732969132
25.346672580512056,41.236308907894475,-0.015469061131262594
20.079912772400153,48.76244774859055,0.09231568937660727
20.250931947338795,60.8719186767155,0.14962451402876165
28.274303014339516,70.94570794712274,0.025326504198943327
27.489304770659245,62.477028630587625,0.10002068067510193
17.78212315681107,80.16873137680449,0.0852740885201869
15.657996370990972,34.5429006363474,0.03878034980676624
26.41153577746708,63.547865049887946,0.13254041183419274
24.18719258478385,50.65626065863721,0.15959095764392453
30.57315483187724,57.521682455223434,0.07427211222910177
28.146314491443565,43.57524133005773,0.13348201933919204
17.73276707832463,52.76664905041056,0.0614923728042004
16.913591818043617,47.3046368282171,0.07730937431569462
21.96968143236189,50.31417390124816,0.009516767226251294
25.189654711717772,48.723632277920295,0.015313956192705366
22.842343077739905,44.77441085157285,0.1336600208055986
25.671023306926763,52.15974993861594,0.2963207050297743
27.601519833792995,56.02552553911122,0.1821059647543489
27.811301725040785,76.41985374257911,0.14018738716250337
23.216748582160427,52.271717712777594,0.12477754056268339
21.6099926901877,52.75665616514641,0.16233132064207584
26.90744133918255,54.05757763757868,0.19052456176523017
28.705373188538022,45.201649267108145,0.16003084274121396
24.320925635805576,64.99049246101232,0.10731272053784233
20.188649051090017,47.176949633886615,0.21183775490111362
33.03725081805949,40.75507210135617,0.020869445349831473
18.28163176967013,80.12821670775608,0.07955068186572414
22.58104821064826,47.44446455138309,0.12880842069362314
28.859583446679693,50.75584321701572,0.1765589740655645
31.77189297402991,49.72361833636749,0.05523654180598318
22.70766023566091,59.6495288465751,0.07825627226810085
15.838172676758349,56.3620572838091,0.06932117960985124
25.03638637119279,40.6540075175098,0.14148094346451773
22.606620575629712,38.19627325894413,0.08375368186833525
18.645715373677504,43.49064743443042,0.10992564417560788
27.927584721615503,64.74917407839446,0.09775705742249909
25.38839920164419,47.44011847144528,0.09185137503606752
22.322005544960053,40.64084045151974,0.06858382937095485
34.60904508421906,71.43575971937877,0.11426399044207897
19.387910239320966,50.405411903583456,0.13349440705858745
23.691416697377527,47.367580714791394,0.028292414099216352
16.694095117579145,44.99658269071057,0.0991345349025158
19.917024840370896,57.108553378472294,0.1243651784574067
23.024744283395673,38.36585427337148,0.12939548887196206
24.217053931417023,44.877146961339854,0.15796622936650437
27.342136539669827,42.33377310878656,0.17218627898917577
33.44493683231193,56.448713929285816,0.03774899069547555
32.91333997242275,66.74122732971999,0.12263892317449246
18.6132116373832,48.886051126323274,0.09576798319051938
26.331784978270075,50.98822915044855,0.11865917818168355
24.561170125017007,56.22496011044216,0.07282124660347754
24.446684839306933,57.84446079074783,0.12848154743921025
15.010123360184206,78.02069032436019,0.08016277540395873
21.33232147043487,51.70598355390762,0.13965396660053878
24.20165529728481,57.33764842514862,0.0581995434307558
24.61850294100872,39.70526380376736,0.18464977774446495
9.804890745629793,51.92731944883568,0.05078665011174128
21.482951677064847,54.77638532751878,0.049870038637488255
20.223725285255142,56.655299116657204,0.10008534627138202
20.30888347678613,52.441592527950526,0.03846600323693364
22.616625404317396,56.43521961933248,0.1400174518267434
21.36486988146813,53.43870646215078,0.11756532427449874
27.960386014354416,59.68513784530291,0.14612756567001503
31.612215174553636,52.53754294630008,0.03336114871334907
22.006005227091567,47.557871762241,0.22198525408104935
26.697234279779753,47.222846065758155,0.07173020091893861
28.509758699509252,43.199572438666046,0.008616701295776363
18.29423072087597,70.2475122515646,0.1462264403467003
26.321679865483734,38.762501137109126,0.16554803982344354
13.7243748308659,73.0370290739508,0.06631749353863269
27.881697956670514,61.002772781553965,0.13300554116092203
21.59220253961057,78.80043269841757,0.07747839852833184
25.696426248029415,36.71486409336035,0.13492480322225245
21.883853604987042,51.57738831194487,0.12678904400210975
25.6544444122039,36.16711735405338,0.1270300673139724
20.447685198363274,49.691051707368594,0.02500120229401949
25.72609591044012,49.602679401194926,0.06490058104817624
13.84744817423534,73.53897161657109,0.09693762968425154
25.607698907610573,57.483982639111154,0.16340858142203557
29.73319371727869,62.78498798560511,0.1134180253806342
24.15067649763148,49.701617112498234,0.13454388138356724
31.669923907675877,48.190656608651366,0.13118489699387298
13.86521858825481,67.98025327922046,0.08769300689043533
24.24782000559234,37.66035733330062,0.03068943347312661
19.504764966755104,76.13625631499148,0.06917954478093469
27.739082058240527,42.16258008682114,0.14248549523445303
23.954073716095195,57.03763715328675,0.11006387532752851
23.70034286125809,51.22283701557301,0.1516117114029762
